N	S	F
1453	-1207.000000	2772.102632
1481	-3139.000000	2778.468463
1471	-3969.000000	2784.717041
1562	-4326.000000	2785.997128
1472	-3595.000000	2774.433816
1483	-1935.000000	2758.246726
1388	359.000000	2746.201194
1448	1600.000000	2746.346300
1434	2503.000000	2753.482704
1488	2608.000000	2753.674999
1453	1884.000000	2744.345824
1360	655.000000	2733.766815
1448	228.000000	2728.620531
1470	-79.000000	2734.658480
1394	64.000000	2741.526947
1479	1053.000000	2736.827178
1414	2579.000000	2724.986422
1398	3719.000000	2715.287646
1369	4905.000000	2716.864553
1403	6024.000000	2730.568073
1472	6470.000000	2740.939985
1433	6343.000000	2743.213262
1402	5799.000000	2739.138003
1411	4536.000000	2738.568969
1429	2423.000000	2752.762067
1468	-21.000000	2768.500497
1562	-2537.000000	2781.268236
1432	-4371.000000	2789.648903
1534	-5285.000000	2795.507646
1519	-5058.000000	2805.698843
1515	-3620.000000	2813.341785
1602	-1578.000000	2811.953414
1428	-109.000000	2808.873618
1490	1029.000000	2810.273118
1551	1598.000000	2818.629809
1542	993.000000	2834.647597
1529	-102.000000	2844.102319
1557	-574.000000	2842.277256
1599	-1088.000000	2838.093726
1472	-1160.000000	2838.902253
1580	-280.000000	2849.996140
1564	1059.000000	2864.093050
1606	1935.000000	2871.929839
1572	2543.000000	2865.804425
1540	2104.000000	2856.189770
1524	552.000000	2857.281225
1568	-1730.000000	2871.728399
1666	-3710.000000	2893.536590
1624	-4592.000000	2908.353830
1659	-3718.000000	2907.485856
1617	-1379.000000	2899.400455
1552	2247.000000	2893.849512
1639	5586.000000	2892.625451
1552	7324.000000	2900.464446
1574	7153.000000	2909.144376
1671	5440.000000	2916.766017
1611	1847.000000	2931.147727
1621	-1876.000000	2943.554314
1767	-4499.000000	2954.154871
1667	-5851.000000	2959.889694
1725	-6170.000000	2960.815766
1633	-4813.000000	2961.751002
1724	-2575.000000	2966.383488
1720	-463.000000	2972.915572
1643	1471.000000	2978.680413
